t,rho_0_0_re,rho_0_0_im,rho_0_1_re,rho_0_1_im,rho_1_0_re,rho_1_0_im,rho_1_1_re,rho_1_1_im
5.600000,0.076614,0.000000,-0.015298,-0.265507,-0.015298,0.265507,0.923386,0.000000
5.700000,0.052209,0.000000,-0.010417,-0.222167,-0.010417,0.222167,0.947791,0.000000
5.800000,0.032258,0.000000,-0.006426,-0.176519,-0.006426,0.176519,0.967742,0.000000
5.900000,0.016967,0.000000,-0.003367,-0.129037,-0.003367,0.129037,0.983033,0.000000
6.000000,0.006495,0.000000,-0.001273,-0.080214,-0.001273,0.080214,0.993505,0.000000
6.100000,0.000952,0.000000,-0.000164,-0.030558,-0.000164,0.030558,0.999048,0.000000
6.200000,0.000395,0.000000,-0.000052,0.019416,-0.000052,-0.019416,0.999605,0.000000
6.300000,0.004829,0.000000,-0.000938,0.069189,-0.000938,-0.069189,0.995171,0.000000
6.400000,0.014209,0.000000,-0.002814,0.118242,-0.002814,-0.118242,0.985791,0.000000
6.500000,0.028437,0.000000,-0.005659,0.166066,-0.005659,-0.166066,0.971563,0.000000
6.600000,0.047366,0.000000,-0.009444,0.212165,-0.009444,-0.212165,0.952634,0.000000
6.700000,0.070798,0.000000,-0.014130,0.256059,-0.014130,-0.256059,0.929202,0.000000
6.800000,0.098489,0.000000,-0.019668,0.297293,-0.019668,-0.297293,0.901511,0.000000
6.900000,0.130154,0.000000,-0.026000,0.335437,-0.026000,-0.335437,0.869846,0.000000
7.000000,0.165461,0.000000,-0.033061,0.370095,-0.033061,-0.370095,0.834539,0.000000
7.100000,0.204045,0.000000,-0.040777,0.400908,-0.040777,-0.400908,0.795955,0.000000
7.200000,0.245505,0.000000,-0.049069,0.427555,-0.049069,-0.427555,0.754495,0.000000
7.300000,0.289409,0.000000,-0.057849,0.449760,-0.057849,-0.449760,0.710591,0.000000
7.400000,0.335301,0.000000,-0.067027,0.467291,-0.067027,-0.467291,0.664699,0.000000
7.500000,0.382705,0.000000,-0.076508,0.479966,-0.076508,-0.479966,0.617295,0.000000
7.600000,0.431129,0.000000,-0.086192,0.487653,-0.086192,-0.487653,0.568871,0.000000
7.700000,0.480068,0.000000,-0.095979,0.490274,-0.095979,-0.490274,0.519932,0.000000
7.800000,0.529014,0.000000,-0.105768,0.487800,-0.105768,-0.487800,0.470986,0.000000
7.900000,0.577459,0.000000,-0.115457,0.480257,-0.115457,-0.480257,0.422541,0.000000
8.000000,0.624899,0.000000,-0.124944,0.467724,-0.124944,-0.467724,0.375101,0.000000
8.100000,0.670842,0.000000,-0.134132,0.450331,-0.134132,-0.450331,0.329158,0.000000
8.200000,0.714810,0.000000,-0.142925,0.428259,-0.142925,-0.428259,0.285190,0.000000
8.300000,0.756346,0.000000,-0.151232,0.401736,-0.151232,-0.401736,0.243654,0.000000
8.400000,0.795018,0.000000,-0.158966,0.371039,-0.158966,-0.371039,0.204982,0.000000
8.500000,0.830425,0.000000,-0.166047,0.336487,-0.166047,-0.336487,0.169575,0.000000
8.600000,0.862199,0.000000,-0.172401,0.298438,-0.172401,-0.298438,0.137801,0.000000
8.700000,0.890009,0.000000,-0.177963,0.257288,-0.177963,-0.257288,0.109991,0.000000
8.800000,0.913567,0.000000,-0.182674,0.213464,-0.182674,-0.213464,0.086433,0.000000
8.900000,0.932628,0.000000,-0.186486,0.167423,-0.186486,-0.167423,0.067372,0.000000
9.000000,0.946994,0.000000,-0.189358,0.119642,-0.189358,-0.119642,0.053006,0.000000
9.100000,0.956515,0.000000,-0.191262,0.070617,-0.191262,-0.070617,0.043485,0.000000
9.200000,0.961093,0.000000,-0.192177,0.020859,-0.192177,-0.020859,0.038907,0.000000
9.300000,0.960679,0.000000,-0.192094,-0.029115,-0.192094,0.029115,0.039321,0.000000
9.400000,0.955279,0.000000,-0.191014,-0.078788,-0.191014,0.078788,0.044721,0.000000
9.500000,0.944949,0.000000,-0.188947,-0.127641,-0.188947,0.127641,0.055051,0.000000
9.600000,0.929795,0.000000,-0.185916,-0.175168,-0.185916,0.175168,0.070205,0.000000
9.700000,0.909976,0.000000,-0.181951,-0.220875,-0.181951,0.220875,0.090024,0.000000
9.800000,0.885696,0.000000,-0.177095,-0.264287,-0.177095,0.264287,0.114304,0.000000
9.900000,0.857210,0.000000,-0.171397,-0.304952,-0.171397,0.304952,0.142790,0.000000
10.000000,0.824811,0.000000,-0.164917,-0.342449,-0.164917,0.342449,0.175189,0.000000
